Order_ID,Customer_ID,Customer_Type,Product,Category,Unit_Price,Quantity,Discount,Total_Price,Region,Order_Date
ORD670338,CUS9135,B2B,Pepsi,Soft Drinks,1.12,59,0.05,62.78,Sachsen-Anhalt,2022-12-16
ORD408075,CUS6689,B2C,San Pellegrino,Water,0.89,1,0.0,0.89,Sachsen,2022-03-24
ORD786301,CUS4927,B2C,Jack Daniels,Alcoholic Beverages,50.25,11,0.0,552.75,Saarland,2022-03-26
ORD1327532,CUS2261,B2C,Bacardi,Alcoholic Beverages,14.26,11,0.0,156.86,Hamburg,2023-12-03
ORD64826,CUS1244,B2C,Fritz-Kola,Soft Drinks,1.99,7,0.0,13.93,Saarland,2021-11-10
ORD1648435,CUS4717,B2B,Sauvignon Blanc,Alcoholic Beverages,4.46,32,0.1,128.45,Sachsen,2023-11-12
ORD2444565,CUS3513,B2C,Club Mate,Soft Drinks,2.19,5,0.0,10.95,Brandenburg,2022-09-06
ORD1358337,CUS5855,B2B,Pepsi,Soft Drinks,0.75,57,0.1,38.48,Brandenburg,2023-03-20
ORD1817508,CUS387,B2C,Kölsch,Alcoholic Beverages,0.96,14,0.0,13.44,Nordrhein-Westfalen,2022-03-22
ORD2708859,CUS1885,B2B,Mountain Dew,Soft Drinks,1.06,32,0.05,32.22,Rheinland-Pfalz,2022-09-29
ORD2617517,CUS5484,B2C,Rauch Multivitamin,Juices,2.31,4,0.0,9.24,Rheinland-Pfalz,2021-03-01
ORD2061627,CUS3686,B2B,Riesling,Alcoholic Beverages,7.18,48,0.05,327.41,Mecklenburg-Vorpommern,2022-07-16
ORD2287820,CUS9456,B2C,Mango Juice,Juices,3.31,7,0.0,23.17,Brandenburg,2023-05-09
ORD1898757,CUS3274,B2C,Veuve Clicquot,Alcoholic Beverages,109.19,15,0.0,1637.85,Schleswig-Holstein,2022-11-16
ORD2403247,CUS7197,B2C,Rotkäppchen Sekt,Alcoholic Beverages,8.29,6,0.0,49.74,Niedersachsen,2022-08-22
ORD1684844,CUS1240,B2B,Beck's,Alcoholic Beverages,2.05,94,0.1,173.43,Bremen,2021-06-01
ORD220032,CUS5218,B2C,Volvic Touch,Water,1.42,9,0.0,12.78,Hessen,2022-06-14
ORD558688,CUS18,B2C,Vio Wasser,Water,1.66,11,0.0,18.26,Sachsen,2022-10-30
ORD2647498,CUS8395,B2C,San Pellegrino,Water,0.86,10,0.0,8.6,Mecklenburg-Vorpommern,2021-09-03
ORD2355434,CUS8591,B2C,Granini Apple,Juices,1.64,6,0.0,9.84,Bremen,2022-09-27
ORD2087006,CUS678,B2B,Rauch Multivitamin,Juices,3.36,98,0.1,296.35,Mecklenburg-Vorpommern,2023-09-07
ORD1357392,CUS4984,B2C,Havana Club,Alcoholic Beverages,13.35,2,0.0,26.7,Bayern,2023-07-17
ORD263849,CUS9843,B2C,Fritz-Kola,Soft Drinks,2.05,8,0.0,16.4,Rheinland-Pfalz,2022-04-13
ORD266510,CUS2749,B2B,Mango Juice,Juices,3.77,78,0.1,264.65,Sachsen,2023-09-11
ORD1669433,CUS487,B2B,Warsteiner,Alcoholic Beverages,1.8,51,0.05,87.21,Baden-Württemberg,2022-03-10
ORD2604491,CUS7370,B2C,Havana Club,Alcoholic Beverages,12.58,10,0.0,125.8,Hamburg,2021-04-16
ORD1318817,CUS9861,B2B,Beck's,Alcoholic Beverages,1.24,18,0.05,21.2,Brandenburg,2022-01-25
ORD2063668,CUS4898,B2C,Hohes C Orange,Juices,1.8,9,0.0,16.2,Nordrhein-Westfalen,2022-02-16
ORD549999,CUS4310,B2C,Havana Club,Alcoholic Beverages,12.96,9,0.0,116.64,Niedersachsen,2022-04-30
ORD626916,CUS3861,B2C,Monster,Soft Drinks,3.31,1,0.0,3.31,Baden-Württemberg,2023-07-18
ORD510207,CUS3475,B2B,Erdinger Weißbier,Alcoholic Beverages,2.65,98,0.1,233.73,Schleswig-Holstein,2022-08-30
ORD2059219,CUS330,B2C,Club Mate,Soft Drinks,2.13,14,0.0,29.82,Thüringen,2021-08-31
ORD2086750,CUS5123,B2C,Hohes C Orange,Juices,1.8,12,0.0,21.6,Brandenburg,2022-01-27
ORD2324041,CUS7658,B2B,Fritz-Kola,Soft Drinks,2.77,89,0.15,209.55,Hamburg,2022-06-20
ORD1624571,CUS814,B2C,Apollinaris,Water,0.96,9,0.0,8.64,Schleswig-Holstein,2022-09-16
ORD750811,CUS2177,B2B,Mango Juice,Juices,3.82,70,0.15,227.29,Hamburg,2022-08-22
ORD565757,CUS1043,B2C,Rauch Multivitamin,Juices,2.31,10,0.0,23.1,Hamburg,2021-04-09
ORD2733418,CUS4956,B2C,Mango Juice,Juices,3.31,7,0.0,23.17,Rheinland-Pfalz,2023-04-24
ORD2782485,CUS4940,B2C,Merlot,Alcoholic Beverages,4.48,8,0.0,35.84,Niedersachsen,2023-06-02
ORD490591,CUS6152,B2B,Beck's,Alcoholic Beverages,1.31,40,0.05,49.78,Sachsen-Anhalt,2023-05-06
