Product,Unit_Price,Quantity,Discount,Total_Price,Region,Last_Order_Date,Cluster,Customer_Type,Category
107.0,1.12,59.0,0.05,62.78,289.0,379.0,0,B2B,Soft Drinks
153.0,0.89,1.0,0.0,0.8900000000000006,317.0,646.0,0,B2C,Water
59.0,50.25,11.0,0.0,552.75,303.0,644.0,0,B2C,Alcoholic Beverages
63.0,14.26,11.0,0.0,156.86,331.0,27.0,0,B2C,Alcoholic Beverages
118.0,1.99,7.0,0.0,13.93,303.0,780.0,0,B2C,Soft Drinks
76.0,4.46,32.0,0.1,128.45,317.0,48.0,0,B2B,Alcoholic Beverages
108.0,2.19,5.0,0.0,10.95,321.0,480.0,0,B2C,Soft Drinks
107.0,0.75,57.0,0.1,38.48,321.0,285.0,0,B2B,Soft Drinks
64.0,0.96,14.0,0.0,13.44,303.0,648.0,0,B2C,Alcoholic Beverages
98.0,1.06,32.0,0.05,32.22,329.0,457.0,0,B2B,Soft Drinks
169.0,2.31,4.0,0.0,9.24,329.0,1034.0,0,B2C,Juices
70.0,7.18,48.0,0.05,327.41,311.0,532.0,0,B2B,Alcoholic Beverages
185.0,3.3099999999999996,7.0,0.0,23.17,321.0,235.0,0,B2C,Juices
62.0,109.19,15.0,0.0,1637.85,337.0,409.0,1,B2C,Alcoholic Beverages
74.0,8.29,6.0,0.0,49.74,342.0,495.0,0,B2C,Alcoholic Beverages
82.0,2.05,94.0,0.1,173.43,315.0,942.0,0,B2B,Alcoholic Beverages
139.0,1.42,9.0,0.0,12.78,285.0,564.0,0,B2C,Water
131.0,1.66,11.0,0.0,18.26,317.0,426.0,0,B2C,Water
153.0,0.86,10.0,0.0,8.6,311.0,848.0,0,B2C,Water
134.0,1.64,6.0,0.0,9.84,315.0,459.0,0,B2C,Juices
169.0,3.36,98.0,0.1,296.35,311.0,114.0,0,B2B,Juices
70.0,13.35,2.0,0.0,26.7,307.0,166.0,0,B2C,Alcoholic Beverages
118.0,2.05,8.0,0.0,16.4,329.0,626.0,0,B2C,Soft Drinks
185.0,3.77,78.0,0.1,264.65,317.0,110.00000000000006,0,B2B,Juices
74.0,1.8,51.0,0.05,87.21,296.0,660.0,0,B2B,Alcoholic Beverages
70.0,12.58,10.0,0.0,125.8,331.0,988.0,0,B2C,Alcoholic Beverages
82.0,1.24,18.0,0.05,21.2,321.0,704.0,0,B2B,Alcoholic Beverages
174.0,1.8,9.0,0.0,16.2,303.0,682.0,0,B2C,Juices
70.0,12.96,9.0,0.0,116.64,342.0,609.0,0,B2C,Alcoholic Beverages
103.0,3.3099999999999996,1.0,0.0,3.3099999999999987,296.0,165.0,0,B2C,Soft Drinks
62.0,2.65,98.0,0.1,233.73000000000002,337.0,487.0,0,B2B,Alcoholic Beverages
108.0,2.13,14.0,0.0,29.82,312.0,851.0,0,B2C,Soft Drinks
174.0,1.8,12.0,0.0,21.6,321.0,702.0,0,B2C,Juices
118.0,2.77,89.0,0.15,209.55,331.0,558.0,0,B2B,Soft Drinks
133.0,0.96,9.0,0.0,8.64,337.0,470.0,0,B2C,Water
185.0,3.82,70.0,0.15,227.29000000000002,331.0,495.0,0,B2B,Juices
169.0,2.31,10.0,0.0,23.1,331.0,995.0,0,B2C,Juices
185.0,3.3099999999999996,7.0,0.0,23.17,329.0,250.0,0,B2C,Juices
67.0,4.48,8.0,0.0,35.84,342.0,211.0,0,B2C,Alcoholic Beverages
82.0,1.31,40.0,0.05,49.78,289.0,238.0,0,B2B,Alcoholic Beverages
64.0,4.74,2.0,0.0,9.48,315.0,910.0,0,B2C,Alcoholic Beverages
159.0,0.6499999999999999,13.0,0.0,8.45,289.0,203.0,0,B2C,Water
162.0,1.26,14.0,0.0,17.64,331.0,708.0,0,B2C,Water
177.0,3.67,12.0,0.0,44.04,337.0,70.0,0,B2C,Juices
149.0,1.04,15.0,0.0,15.6,307.0,708.0,0,B2C,Water
103.0,3.12,1.0,0.0,3.120000000000001,285.0,825.0,0,B2C,Soft Drinks
149.0,1.01,7.0,0.0,7.07,296.0,1006.0,0,B2C,Water
108.0,1.1,12.0,0.0,13.2,303.0,303.0,0,B2C,Soft Drinks
70.0,4.07,3.0,0.0,12.21,337.0,835.0,0,B2C,Alcoholic Beverages
172.0,3.33,6.0,0.0,19.98,317.0,597.0,0,B2C,Juices
70.0,4.32,12.0,0.0,51.84,312.0,75.0,0,B2C,Alcoholic Beverages
73.0,1.12,2.0,0.0,2.240000000000002,296.0,718.0,0,B2C,Alcoholic Beverages
101.0,2.35,8.0,0.0,18.8,307.0,6.0,0,B2C,Soft Drinks
76.0,5.34,13.0,0.05,65.95,342.0,946.0,0,B2B,Alcoholic Beverages
169.0,2.66,62.0,0.05,156.67000000000002,317.0,411.0,0,B2B,Juices
133.0,0.96,10.0,0.0,9.6,289.0,661.0,0,B2C,Water
108.0,2.59,93.0,0.15,204.74,312.0,473.0,0,B2B,Soft Drinks
134.0,2.59,100.0,0.1,233.10000000000002,337.0,134.0,0,B2B,Juices
162.0,1.08,70.0,0.05,71.82,303.0,958.0,0,B2B,Water
98.0,0.53,5.0,0.0,2.6499999999999986,302.0,1005.0,0,B2C,Soft Drinks
172.0,3.43,8.0,0.0,27.44,331.0,215.0,0,B2C,Juices
51.000000000000014,17.42,12.0,0.05,198.59000000000003,329.0,1030.0,0,B2B,Alcoholic Beverages
70.0,4.88,9.0,0.0,43.92,329.0,753.0,0,B2C,Alcoholic Beverages
157.0,0.56,40.0,0.05,21.28,337.0,274.0,0,B2B,Water
139.0,0.47,9.0,0.0,4.23,337.0,485.0,0,B2C,Water
139.0,0.92,81.0,0.15,63.34,342.0,789.0,0,B2B,Water
82.0,0.6099999999999999,12.0,0.0,7.32,303.0,682.0,0,B2C,Soft Drinks
63.0,20.63,10.0,0.05,195.98000000000002,317.0,283.0,0,B2B,Alcoholic Beverages
118.0,2.15,22.0,0.05,44.93,342.0,1044.0,0,B2B,Soft Drinks
70.0,4.56,27.0,0.05,116.96,315.0,852.0,0,B2B,Alcoholic Beverages
98.0,0.96,4.0,0.0,3.84,303.0,649.0,0,B2C,Soft Drinks
74.0,1.05,13.0,0.0,13.65,307.0,583.0,0,B2C,Alcoholic Beverages
51.000000000000014,23.4,18.0,0.05,400.14,312.0,114.0,0,B2B,Alcoholic Beverages
64.0,0.93,1.0,0.0,0.9299999999999997,342.0,1076.0,0,B2C,Alcoholic Beverages
118.0,1.99,9.0,0.0,17.91,329.0,849.0,0,B2C,Soft Drinks
82.0,0.5899999999999999,5.0,0.0,2.9499999999999993,315.0,754.0,0,B2C,Soft Drinks
107.0,1.58,3.0,0.0,4.740000000000002,337.0,293.0,0,B2C,Soft Drinks
185.0,3.12,1.0,0.0,3.120000000000001,321.0,1003.0,0,B2C,Juices
139.0,1.16,53.0,0.05,58.41,331.0,894.0,0,B2B,Water
69.0,35.52,10.0,0.0,355.2,289.0,860.0,0,B2C,Alcoholic Beverages
169.0,2.38,4.0,0.0,9.52,317.0,409.0,0,B2C,Juices
64.0,4.74,11.0,0.0,52.14,289.0,797.0,0,B2C,Alcoholic Beverages
73.0,1.16,1.0,0.0,1.1600000000000001,312.0,180.0,0,B2C,Alcoholic Beverages
98.0,0.96,2.0,0.0,1.9200000000000017,303.0,616.0,0,B2C,Soft Drinks
74.0,77.87,71.0,0.1,4975.89,303.0,776.0,1,B2B,Alcoholic Beverages
64.0,1.47,54.0,0.1,71.44,342.0,1018.0,0,B2B,Alcoholic Beverages
69.0,35.52,11.0,0.0,390.72,312.0,737.0,0,B2C,Alcoholic Beverages
